answer,qid
Nothing got damaged besides the range but it took days of airing the house out and cleaning before things were 100% back to normal.,blogs-06-20
The husband of the narrator quickly shut the door of the oven in order to prevent the fire spreading.,blogs-06-21
The husband of a narrator who owned a house and owned the oven attempted for the husband of the narrator to retrieve the group of treats and discovered that the oven had created the fire.,blogs-06-22
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.,fables-01-1
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.,fables-01-2
Crow,fables-01-3
A fox observed the crow and tried to discover how to get the cheese.,fables-01-4
A fox observed the crow and tried to discover how to get the cheese.,fables-01-5
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.,fables-01-6
crow,fables-01-7
There once was a crow.,fables-01-8
Some cheese was in the beak of the crow.,fables-01-9
Crow,fables-01-10
fox,fables-01-11
The fox said that the beauty of the bird was incomparable.,fables-01-12
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.,fables-01-13
fox,fables-01-14
fox,fables-01-15
"The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.",fables-01-16
crow,fables-01-17
crow,fables-01-18
couldn't find the answer,fables-01-19
"Her beauty is without equal, the hue of her plumage exquisite.",fables-01-20
couldn't find the answer,fables-01-21
The fox said that the hue of the plumage of the bird was exquisite.,fables-01-22
Crow,fables-01-23
Lion,fables-02-1
"The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.",fables-02-2
There once was a fat bull.,fables-02-3
bull,fables-02-4
lion,fables-02-5
The lion walked toward the bull and began to feign that the lion was friendly.,fables-02-6
Lion,fables-02-7
Lion,fables-02-8
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-9
because feared the lion sharp horn every of bull the,fables-02-10
The lion didn't attack the bull because the lion feared sharp every horn of the bull.,fables-02-11
couldn't find the answer,fables-02-12
lion,fables-02-13
because wanted the lion to eat the bull,fables-02-14
The lion advised the bull to remove every horn of the bull because every horn of the bull was ugly.,fables-02-15
because ugly every horn of bull the was,fables-02-16
The lion began to be hungry and decided to attempt to kill the bull.,fables-02-17
bull,fables-02-18
bull,fables-02-19
because wanted the lion to eat the bull,fables-02-20
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-21
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-22
lion,fables-02-23
"A Lion watched a fat Bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns.",fables-02-24
"The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.",fables-02-25
There once was a fat bull.,fables-02-26
couldn't find the answer,fables-02-27
"The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.",fables-02-28
couldn't find the answer,fables-02-29
couldn't find the answer,fables-02-30
lion,fables-02-31
lion,fables-02-32
lion,fables-02-33
There once was a fat bull.,fables-02-34
bull,fables-02-35
bull,fables-02-36
The dog was lying by the gate of a farmyard.,fables-07-1
wolf,fables-07-2
dog,fables-07-3
The dog begged the wolf to spare the dog.,fables-07-4
Dog,fables-07-5
"A Dog was lying in the sun before a farmyard gate when a Wolf pounced upon him and was just going to eat him up; but he begged for his life and said, ""You see how thin I am and what a wretched meal I should make you now: but if you will only wait a few days my master is going to give a feast.",fables-07-6
Wolf,fables-07-7
The wolf returned to the farmyard.,fables-07-8
because lied the dog down on roof the of stable a,fables-07-9
Dog,fables-07-10
"So now there's a five-limbed insect lurking in the apartment, no doubt looking for some vengeance against me.",blogs-07-1
"Since I'm such a bugaphobe, I grabbed the closest object within reach, and with a rolled-up comic book I smote mine enemies and smeared their greasy bug guts.",blogs-07-2
"Since I'm such a bugaphobe, I grabbed the closest object within reach, and with a rolled-up comic book I smote mine enemies and smeared their greasy bug guts.",blogs-07-3
A group of bugs entered the apartment of the narrator.,blogs-07-4
A narrator recently and momentarily opened the door of the patio of the narrator.,blogs-07-5
"The group of bugs began to be the enemy of the narrator, and the narrator grabbed a reachable and close thing that was a rolled comic book because the group of bugs scared her.",blogs-07-6
because was a rolled comic book her the of group scared bugs,blogs-07-7
narrator,blogs-07-8
"The narrator began to look around every corner of the apartment of the narrator, began to check the toilet seat of the narrator for the fatty of the group of bugs in order for she to sit down on the toilet seat of the narrator and she in due course expected for the fatty of the group of bugs to jump toward her.",blogs-07-9
"Every action of the story of the narrator happened notably, and a group of cicadas didn't even and yet arrive to the apartment of the narrator.",blogs-07-10
A summit meeting named G20 summit started on eventful today.,blogs-01-1
A summit meeting named G20 summit started on eventful today.,blogs-01-2
G20 summit happened annually.,blogs-01-3
The people burned a police car and threw a thing at a police.,blogs-01-4
people,blogs-01-5
people,blogs-01-6
The people burned a police car and threw a thing at a police.,blogs-01-7
people,blogs-01-8
The people burned a police car and threw a thing at a police.,blogs-01-9
Police cars were burned and things were thrown at cops.,blogs-01-10
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-11
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-12
windows stores,blogs-01-13
police,blogs-01-14
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-15
because disagreed it about view a,blogs-01-16
The people rebelled and created riot.,blogs-01-17
Police were in full riot gear to alleviate the violence.,blogs-01-18
police,blogs-01-19
people,blogs-01-20
police,blogs-01-21
meeting,blogs-01-22
couldn't find the answer,blogs-01-23
police,blogs-01-24
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot.,blogs-01-25
Since there are so many leaders coming together their are going to be a lot of people who have different views on how to run the government they follow so they protest.,blogs-01-26
Since there are so many leaders coming together their are going to be a lot of people who have different views on how to run the government they follow so they protest.,blogs-01-27
Since there are so many leaders coming together their are going to be a lot of people who have different views on how to run the government they follow so they protest.,blogs-01-28
It happens every year and it is where 20 of the leaders of the world come together to talk about how to run their governments effectively and what not.,blogs-01-29
world,blogs-01-30
police,blogs-01-31
A people protested because it disagreed about a view.,blogs-01-32
The people burned a police car and threw a thing at a police.,blogs-01-33
police,blogs-01-34
A summit meeting named G20 summit started on eventful today.,blogs-01-35
people,blogs-01-36
Fox,fables-04-1
"A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup.",fables-04-2
The fox only served some soup in a flat and large dish.,fables-04-3
fox,fables-04-4
The fox only served some soup in a flat and large dish.,fables-04-5
because able he was n't to reach some food that pitcher was in the,fables-04-6
The stork easily fitted the long bill of the stork into the long and narrow neck of the pitcher.,fables-04-7
"Thus, while she enjoyed her dinner, the Fox sat by hungry and helpless, for it was impossible for him to reach the tempting contents of the vessel.",fables-04-8
"The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth.",fables-04-9
stork,fables-04-10
The stork easily fitted the long bill of the stork into the long and narrow neck of the pitcher.,fables-04-11
couldn't find the answer,fables-04-12
The fox only served some soup in a flat and large dish.,fables-04-13
stork,fables-04-14
stork,fables-04-15
The fox only served some soup in a flat and large dish.,fables-04-16
stork,fables-04-17
"The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth.",fables-04-18
"The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth.",fables-04-19
Fox,fables-04-20
stork,fables-04-21
"But not long after the Stork invited him in turn, and set before him a pitcher with a long and narrow neck, into which she could get her bill with ease.",fables-04-22
couldn't find the answer,fables-04-23
Her evident distress caused the sly Fox much amusement.,fables-04-24
stork,fables-04-25
stork,fables-04-26
The stork presented the fox with a pitcher.,fables-04-27
There once was a group of students and a narrator.,blogs-05-1
The narrator checked the group of students for presence and stood at the front of a classroom.,blogs-05-2
narrator,blogs-05-3
"The narrator resumed teaching, and the group of students didn't react.",blogs-05-4
narrator,blogs-05-5
The narrator lifted the slip and inserted it into a bottom drawer of the desk.,blogs-05-6
Nervously I looked down to see that my underslip had somehow made its way to the floor.,blogs-05-7
Just thought I would share with you one of my most embarassing moments as a teacher to date.,blogs-05-8
Nervously I looked down to see that my underslip had somehow made its way to the floor.,blogs-05-9
The narrator carefully stepped over the slip.,blogs-05-10
because dysfunctional the elastic of slip the was,blogs-05-11
narrator,blogs-05-12
"The narrator resumed teaching, and the group of students didn't react.",blogs-05-13
Later that day I wondered how they had described the day to their parents over dinner.,blogs-05-14
I,blogs-05-15
narrator,blogs-05-16
The narrator lifted the slip and inserted it into a bottom drawer of the desk.,blogs-05-17
There once was a group of students and a narrator.,blogs-05-18
The narrator lifted the slip and inserted it into a bottom drawer of the desk.,blogs-05-19
The narrator checked the group of students for presence and stood at the front of a classroom.,blogs-05-20
"A Farmer was greatly annoyed by a Fox, which came prowling about his yard at night and carried off his fowls.",fables-05-1
"As ill-luck would have it, however, the Fox made straight for the fields where the corn was standing ripe and ready for cutting.",fables-05-2
It,fables-05-3
set,fables-05-4
The agriculturist tied some fiber onto the tail of the fox and in order to retaliate.,fables-05-5
agriculturist,fables-05-6
The corn ignited and burned completely.,fables-05-7
fox,fables-05-8
"It quickly caught fire and was all burnt up, and the Farmer lost all his harvest.",fables-05-9
fox,fables-05-10
agriculturist,fables-05-11
An agriculturist began to be annoyed by the fox.,fables-05-12
couldn't find the answer,fables-05-13
He,fables-05-14
An agriculturist began to be annoyed by the fox.,fables-05-15
agriculturist,fables-05-16
couldn't find the answer,fables-05-17
"A Farmer was greatly annoyed by a Fox, which came prowling about his yard at night and carried off his fowls.",fables-05-18
The fox was nightly prowling a yard.,fables-05-19
Some corn began to be ripe in the field and began to be ready to a harvest.,fables-05-20
to be ripe field,fables-05-21
fox,fables-05-22
set,fables-05-23
agriculturist,fables-05-24
couldn't find the answer,fables-05-25
man,blogs-02-1
The young man died on the spot of the yard of the narrator.,blogs-02-2
"Later, when I was visiting the place where he died, I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him.",blogs-02-3
because wanted it the man young to know the narrator regretting that aided it had not him,blogs-02-4
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep.,blogs-02-5
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.,blogs-02-6
"At first, my logical mind thought that it was my brother playing around with his new flashlight (not at all like it, but the closest thing I could imagine)
And when I went inside the house, everyone was snoring!",blogs-02-7
man,blogs-02-8
narrator,blogs-02-9
man,blogs-02-10
The narrator began to wonder that the flash was an orb,blogs-02-11
The narrator saw some bright flash in a group of trees that was above the narrator.,blogs-02-12
"A few years ago, a young man died out on my front lawn when he crashed his motorbike.",blogs-02-13
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.,blogs-02-14
man,blogs-02-15
narrator,blogs-02-16
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.,blogs-02-17
man,blogs-02-18
narrator,blogs-02-19
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.,blogs-02-20
because injured he was badly with neck a broken,blogs-02-21
"I was with him in his last moments but there was
nothing I could do because he was badly injured with a broken neck.",blogs-02-22
because to I wanted him bad know how felt I I that him couldnt help,blogs-02-23
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.,blogs-02-24
couldn't find the answer,blogs-02-25
man,blogs-02-26
narrator,blogs-02-27
narrator,blogs-02-28
squirrel,blogs-04-1
squirrel,blogs-04-2
The squirrel's paw slipped off the deck's railing.,blogs-04-3
The birds bathed themselves in the bowl.,blogs-04-4
We,blogs-04-5
"But not quite, I saw his one little paw hanging on!",blogs-04-6
This is one of those times I wish I had a digital camera.,blogs-04-7
"Throughout the day, many birds drink out of it and bathe in it.",blogs-04-8
The birds literally line up on the railing and wait their turn.,blogs-04-9
 The narrator placed the bowl on the deck in order for Benjamin to drink the bowl's water.,blogs-04-10
The squirrel approached the bowl.,blogs-04-11
 The narrator placed the bowl on the deck in order for Benjamin to drink the bowl's water.,blogs-04-12
The birds organized themselves on the deck's railing in order for the birds to wait.,blogs-04-13
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he's playing outside.,blogs-04-14
The birds organized themselves on the deck's railing in order for the birds to wait.,blogs-04-15
The squirrel's paw slipped off the deck's railing.,blogs-04-16
His bowl has become a very popular site.,blogs-04-17
"Throughout the day, many birds drink out of it and bathe in it.",blogs-04-18
After a moment or two his paw slipped and he tumbled down a few feet.,blogs-04-19
 The narrator placed the bowl on the deck in order for Benjamin to drink the bowl's water.,blogs-04-20
because startled the squirrel was,blogs-04-21
"Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.",fables-03-1
Eagle,fables-03-2
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.,fables-03-3
"A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.",fables-03-4
couldn't find the answer,fables-03-5
The serpent spat some poison in the drinking vessel.,fables-03-6
The countryman decided to sip from the drinking vessel.,fables-03-7
eagle,fables-03-8
The eagle spilled the drinking vessel.,fables-03-9
"Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.",fables-03-10
"Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.",fables-03-11
"A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.",fables-03-12
Eagle,fables-03-13
eagle,fables-03-14
"A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.",fables-03-15
"A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.",fables-03-16
A countryman who owned a drinking vessel tried to help the eagle to escape.,fables-03-17
"A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.",fables-03-18
"The eagle escaped, and the countryman freed the eagle from the serpent.",fables-03-19
The serpent spat some poison in the drinking vessel.,fables-03-20
"Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.",fables-03-21
eagle,fables-03-22
eagle,fables-03-23
An eagle swooped toward a serpent and seized it in order for he to devour it.,fables-03-24
eagle,fables-03-25
countryman,fables-03-26
The serpent spat some poison in the drinking vessel.,fables-03-27
countryman,fables-03-28
eagle,fables-03-29
eagle,fables-03-30
eagle,fables-03-31
An eagle swooped toward a serpent and seized it in order for he to devour it.,fables-03-32
"A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.",fables-03-33
Eagle,fables-03-34
An eagle swooped toward a serpent and seized it in order for he to devour it.,fables-03-35
countryman,fables-03-36
countryman,fables-03-37
Maxine was a happy frog that lived in a beautiful pond by the river.,mc500.train.25.0
Maxine was a happy frog that lived in a beautiful pond by the river.,mc500.train.25.1
She threw rocks at Maxine and Thomas.,mc500.train.25.2
She,mc500.train.25.3
She loved to play in the water and take a bath every day.,mc500.train.25.4
She loved to play in the water and take a bath every day.,mc500.train.25.5
She loved to play in the water and take a bath every day.,mc500.train.25.6
couldn't find the answer,mc500.train.25.7
She,mc500.train.25.8
She,mc500.train.25.9
Maxine's dad saw what happened and he was very mad.,mc500.train.25.10
Maxine,mc500.train.25.11
He,mc500.train.25.12
Cindy,mc500.train.25.13
"So one day when Maxine and Thomas were swimming, Cindy did something mean.",mc500.train.25.14
friends,mc500.train.25.15
She loved to play in the water and take a bath every day.,mc500.train.25.16
"But her friends, Martin, Edgar, and Cindy didn't like to take baths.",mc500.train.25.17
"So one day when she was swimming alone, she met a new friend named Thomas.",mc500.train.25.18
She,mc500.train.25.19
Maxine,mc500.train.25.20
couldn't find the answer,mc500.train.111.0
"When at the store, Will had a good laugh at a very silly looking dog.",mc500.train.111.1
Will heard it start to thunder.,mc500.train.111.2
"When at the store, Will had a good laugh at a very silly looking dog.",mc500.train.111.3
Will walked over to the living room.,mc500.train.111.4
Will sat and finished his dinner in the kitchen.,mc500.train.111.5
"On his way there, he put a napkin in the trashcan.",mc500.train.111.6
"On his way there, he put a napkin in the trashcan.",mc500.train.111.7
The song was about a flower.,mc500.train.111.8
his favorite song,mc500.train.111.9
Will was playing his favorite song.,mc500.train.111.10
A single star was out in the night sky.,mc500.train.111.11
A single star was out in the night sky.,mc500.train.111.12
Will got hungry and went inside to get a biscuit.,mc500.train.111.13
Will got hungry and went inside to get a biscuit.,mc500.train.111.14
"He didn't want chicken, gravy, or butter on his biscuit.",mc500.train.111.15
couldn't find the answer,mc500.train.111.16
"When he was in the living room, it started to rain.",mc500.train.111.17
She went to Miami to visit some friends.,mc500.train.0.1
a salad,mc500.train.0.2
Kristin,mc500.train.0.3
She traveled from Atlanta.,mc500.train.0.4
couldn't find the answer,mc500.train.0.5
because tired they were .,mc500.train.0.6
girls,mc500.train.0.7
Alyssa,mc500.train.0.8
The girls went to a restaurant for dinner.,mc500.train.0.9
"After eating, the ladies went back to Ellen's house to have fun.",mc500.train.0.10
The girls went to a restaurant for dinner.,mc500.train.0.11
Alyssa called her friends Kristin and Rachel to meet at Ellen's house.,mc500.train.0.12
Ellen greeted Alyssa and they both had some lemonade to drink.,mc500.train.0.13
"After eating, the ladies went back to Ellen's house to have fun.",mc500.train.0.14
Alyssa was happy to spend time with her friends again.,mc500.train.0.15
"After going swimming and laying out, she went to her friend Ellen's house.",mc500.train.0.16
"But she wanted some time to herself at the beach, so she went there first.",mc500.train.0.17
Alyssa got to the beach after a long trip.,mc500.train.0.18
She's now in Miami.,mc500.train.0.19
"But she wanted some time to herself at the beach, so she went there first.",mc500.train.0.20
Alyssa,mc500.train.0.21
"After eating, the ladies went back to Ellen's house to have fun.",mc500.train.0.22
She went to Miami to visit some friends.,mc500.train.0.23
Alyssa got to the beach after a long trip.,mc500.train.0.24
It was Saturday afternoon and Andrew was bored.,mc500.train.23.1
He had been watching TV all day.,mc500.train.23.2
Andrew looked outside the window and saw the newspaper by the door.,mc500.train.23.3
Andrew looked outside the window and saw the newspaper by the door.,mc500.train.23.4
On the front was a picture of an elephant.,mc500.train.23.5
He had been watching TV all day.,mc500.train.23.6
"Andrew's dad said, ""I think the newspaper is here.",mc500.train.23.7
The circus was in town!,mc500.train.23.8
The circus was in town!,mc500.train.23.9
your goldfish,mc500.train.23.10
people,mc500.train.23.11
"He told his dad, ""There's nothing to do!""",mc500.train.23.12
Andrew and his dad had a lot of fun at the circus.,mc500.train.23.13
"He asked his dad, ""Can we go?""",mc500.train.23.14
The elephant even went down a slide!,mc500.train.23.15
"Andrew's dad said, ""I think the newspaper is here.",mc500.train.23.16
"Andrew's dad said, ""I think the newspaper is here.",mc500.train.23.17
elephant,mc500.train.23.18
lots tricks,mc500.train.23.19
He picked up the newspaper and brought it to his dad.,mc500.train.23.20
"""Yes, we can,' Andrew's dad said, 'but first you need to feed your goldfish.""",mc500.train.23.21
Andrew,mc500.train.23.22
On the front was a picture of an elephant.,mc500.train.23.23
He promised to bring it some peanuts from the circus for later.,mc500.train.23.24
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.1
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.2
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.3
couldn't find the answer,mc500.train.18.4
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.5
flowers,mc500.train.18.6
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.7
"After that, she had to hide the flowers in a secret spot.",mc500.train.18.8
because Day it was Mother 's and she had to collect flowers before woke her mom up to give to her as present a .,mc500.train.18.9
to collect flowers woke,mc500.train.18.10
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.11
because Day it was Mother 's and she had to collect flowers before woke her mom up to give to her as present a .,mc500.train.18.12
"The red ones were big, the orange ones were small, and the green ones were in the middle.",mc500.train.18.13
"After that, she had to hide the flowers in a secret spot.",mc500.train.18.14
Her mother's favorite was the red one.,mc500.train.18.15
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.16
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.17
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.18
"She hoped her baby sister Morgan, who was still in diapers, wouldn't find the flowers and eat them.",mc500.train.18.19
"After that, she had to hide the flowers in a secret spot.",mc500.train.18.20
because Day it was Mother 's and she had to collect flowers before woke her mom up to give to her as present a .,mc500.train.18.21
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.22
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.23
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.24
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.25
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.26
